Name,Material Type,Material,Avg Price,Weight,Holding,Extra Tasks,Seasons
White Socks,Cotton,1,1,0.25,0.05,N/A,"Winter, Spring, Summer, Fall"
Dress Socks,Cotton,1,2,0.3,0.1,Dyeing,"Winter, Spring, Summer, Fall"
Plain T-Shirts,Cotton,2,5,0.5,0.25,Pressing,"Winter, Spring, Summer, Fall"
Colored T-Shirts,Cotton,2,8,0.55,0.4,"Dyeing, Pressing","Spring, Summer"
Graphic T-Shirts,Cotton,1,10,0.6,0.5,"Dyeing, Heating, Pressing","Spring, Summer"
Polo Shirts,Cotton,3,15,0.9,0.75,"Dyeing, Embroidering, Pressing","Spring, Summer"
Low Rise Jeans,Denim,2,25,1.63,1.25,Dyeing,"Winter, Spring, Fall"
Designer Jeans,Denim,2,30,1.54,1.5,"Dyeing, Embroidering","Winter, Spring, Fall"
Denim Jacket,Denim,3,35,2.5,1.75,"Dyeing, Embroidering","Winter, Fall"
Bermuda Shorts,Khaki,2,12,1.25,0.6,Dyeing,"Spring, Summer"
Slacks,Khaki,2,20,1.5,1,Pressing,"Winter, Spring, Fall"
Safari Jacket,Khaki,4,40,3.25,2,"Embroidering, Pressing",Spring
Sports Shorts,Nylon,1,10,0.6,0.5,N/A,"Spring, Summer"
Sports Pants,Nylon,2,15,1.4,0.75,N/A,"Winter, Fall"
Windbreaker,Nylon,3,20,1.9,1,Heating,"Spring, Summer"
Coaches Jacket,Nylon,3,30,3.45,1.5,Heating,"Winter, Fall"
Boxer Shorts,Silk,1,15,0.4,0.75,N/A,"Winter, Spring, Fall"
Tie,Silk,1,20,0.3,1,Pressing,"Winter, Spring, Summer, Fall"
Chiffon Dress,Silk,4,50,2.5,2.5,"Dyeing, Pressing","Spring, Summer, Fall"
Heavy Socks,Wool,1,3,0.35,0.15,Pressing,"Winter, Fall"
Sweaters,Wool,2,20,1.25,1,"Dyeing, Pressing","Winter, Fall"
Hunting Pants,Wool,3,30,1.3,1.5,"Dyeing, Pressing","Spring, Summer, Fall"
